,time,ground_force1_pt1y,ground_force1_pt1x,ground_force2_pt1y,ground_force2_pt1x,ground_force1_pt2x,ground_force1_pt2y,ground_force1_pt2z,ground_force2_pt2x,ground_force2_pt2y,ground_force2_pt2z
80,0.08,0.340415,-1.097838,0.352307,-0.745565,36.188730105973264,3.1007038377701623,457.8763293871189,-41.198026156435375,1.7749202288217045,431.68463755025647
81,0.081,0.341299,-1.096883,0.353093,-0.746344,36.17145478601558,3.0981347085772573,457.8601745478893,-41.17925201741281,1.8221797821340502,431.5626655622578
82,0.082,0.341396,-1.096985,0.352276,-0.74416,36.153311441173074,3.095048740027241,457.8410818710326,-41.157171101645936,1.8676379784900905,431.43779734847226
83,0.083,0.341503,-1.096825,0.35307,-0.744898,36.13562297294466,3.0922612649550234,457.8190301067861,-41.13767276823599,1.9144973099256786,431.3100574834389
84,0.084,0.341405,-1.096577,0.352103,-0.744428,36.11821911906597,3.0895757976900966,457.7939991914047,-41.116631517282286,1.959374316972235,431.1794720485289
85,0.085,0.341046,-1.097684,0.3528,-0.744651,36.099660449930965,3.086955019257331,457.7659702638071,-41.095952986027214,2.0056825948563275,431.0460686017662
86,0.086,0.341348,-1.097769,0.352053,-0.744282,36.082327365120115,3.08533976216817,457.7349256819284,-41.07435694486606,2.0503027997367536,430.9098761458087
87,0.087,0.341184,-1.098605,0.352379,-0.744562,36.06445009003966,3.083621994814132,457.7008490387721,-41.05308929322472,2.0957406549732127,430.77092509411546
88,0.088,0.340723,-1.099405,0.352984,-0.74472,36.046818672676984,3.081989805475035,457.6637251781533,-41.03138405530837,2.141190957420465,430.6292472353322
89,0.089,0.341232,-1.098412,0.351965,-0.743297,36.03119298047697,3.0817293859549126,457.6235402101218,-41.00778737572434,2.1847395837417625,430.48487569592464
90,0.09,0.341328,-1.097703,0.352473,-0.744986,36.01549869734408,3.0814770148590584,457.5802815260561,-40.98699751498245,2.2295264967351844,430.3378449010968
91,0.091,0.341207,-1.098112,0.352545,-0.746695,35.99890432077474,3.0814480405262703,457.53393781341697,-40.96592784487626,2.2735777516664237,430.1881905340319
92,0.092,0.341127,-1.097576,0.352583,-0.745315,35.98347515912528,3.0819198636308984,457.4844990701501,-40.94147484374851,2.317284502601475,430.0359494934963
93,0.093,0.34104,-1.098019,0.351843,-0.745367,35.96728932901966,3.0828639194699106,457.4319566187262,-40.91816509164411,2.359892008732655,429.8811598498503
94,0.094,0.341033,-1.098824,0.352505,-0.745202,35.95096575290233,3.084386659950657,457.37630311980746,-40.89435526535407,2.403569640691345,429.7238607995117
95,0.095,0.340856,-1.098293,0.352002,-0.744073,35.936204156740715,3.086257535295428,457.3175325855262,-40.86930413335372,2.445739886840857,429.5640926179196
96,0.096,0.341262,-1.09829,0.352272,-0.745457,35.92114206788202,3.089248975479192,457.2556403923639,-40.84649455063876,2.488330359542778,429.401896611046
